QUEST_LV_0100_20150312_000001	경계병	Sentinel
QUEST_LV_0100_20150312_001207	저 거대 여신상에는 재미있는 이야기가 전해지지.{nl}기회가 된다면 	Interesting story is transmitted to the the huge image. If there is a {nl} opportunity
QUEST_LV_0100_20150312_001208	페디미안의 은화	Silver of Fedimian
QUEST_LV_0100_20150312_001209	라는 책을 읽어보는 것도 좋을 거야.	Even it would be good to try to read a book called.
QUEST_LV_0100_20150312_001210	창은 순수한 살상 무기 그 자체입니다.{nl}그 덕분에 누구나 쉽게 접하고 익힐 수 있는 최고의 무기이지요.	The spear is itself a pure weapon of destruction.{nl} It is the best weapon anyone can easily learn and master.
QUEST_LV_0100_20150312_001211	골렘이라니 정말 굉장하군요.{nl}제가 가르쳐 드린 건 잘 기억하고 계시죠?	Golem, that's awesome. {nl} And you remember what I taught you?
QUEST_LV_0100_20150312_001212	역시 계시자는 다른가봐요.{nl}하지만 다른 계시자와도 다른 것 같네요.	I guess the Revelator really is different. {nl} You you seem to be different from the other Revelators too..
QUEST_LV_0100_20150312_001213	골렘을 잡다니 정말 대단하시네요.{nl}그런 건 어디서 배우신 거죠?	Defeating the Golem was so cool. {nl} Where did you learn to do that?
QUEST_LV_0100_20150312_001214	자네가 우릴 도와준 건 참 고맙게 생각하고 있어.{nl}클라페다에서 우스카님이 기다리고 있으니 어서 가 보게.	I'm grateful for your help. {nl} Commander Uska is waiting for you in Klaipeda so go find him.
QUEST_LV_0100_20150312_001215	언젠간 여신께서 돌아오실 것이라고 난 굳게 믿고 있네.{nl}암. 믿어야지. 우리가 여신을 믿지 않으면 누가 믿겠다는 건가?	I firmly believe that the Goddess will return someday. No doubt about it. {nl} We have to believe it. If we do not believe in the Goddess then who will?
QUEST_LV_0100_20150312_001216	어서 광산 마을의 지원을 부탁드립니다.{nl}당신 정도의 실력자라면 큰 도움이 될 것입니다.	Please hurry and support the Miners' Village. {nl} Someone like you will be of great help.
QUEST_LV_0100_20150312_001217	이야기는 들었습니다. 부베 투사를 해치웠다지요?{nl}정말 대단하십니다.	I heard the stories. So you defeated the Vubbe Fighter, huh? {nl} That is  incredible.
QUEST_LV_0100_20150312_001218	멀리서 지켜보는 내내 조마조마했습니다만, 정말 멋졌습니다.	I was anxious watching from a distance but it was really awesome.
QUEST_LV_0100_20150312_001219	솔직히 좀 두렵습니다.{nl}광산 마을에 이어 동쪽 숲까지.. 클라페다도 점점 위험해지는군요.	Frankly, I'm scared. {nl}Miners' Village and then the East Woods.. Even Klaipeda is becoming dangerous.
QUEST_LV_0100_20150312_001220	광산마을이 매우 걱정되긴 합니다만. {nl}그래도 이만큼이나 조용해진건 전부 당신 덕분이지요.	Although I am very concerned for Miners' Village, {nl}at least it has calm down this much thanks to you. 
QUEST_LV_0100_20150312_001221	치유사 아가씨	Healer Lady
QUEST_LV_0100_20150312_001222	저희를 구해주신 계시자님께 여신의 가호가 깃들길 늘 기도드리고 있답니다.	We pray that the blessings of the Goddess will always be with the Revelator who saved us
QUEST_LV_0100_20150312_001223	피난민들을 돕고 있어요.{nl}몬스터가 마을을 습격했거든요.	I'm helping the refugees. {nl} The monsters attacked the village 
QUEST_LV_0100_20150312_001224	광산 소장 브링커	Mine Director Brinker
QUEST_LV_0100_20150312_001225	아직은 많이 불안하오.{nl}그래도 예전보단 나은 게 모두 당신 덕 아니겠소?	Still anxious. {nl} But thanks to you things are better than before.
QUEST_LV_0100_20150312_001226	커닝햄의 이야기가 사실이었다니.. 조금 연구해 볼 필요가 있겠습니다.	I can't believe the Cunningham's story is true... I think it needs more research.
QUEST_LV_0100_20150312_001227	모든 것에는 마나라는 샘이 있어요.{nl}그리고 원한다면, 서로가 서로의 마나를 이을 수도 있겠죠.{nl}마치 수로를 파는 것처럼요.	Everything has a source called Mana. {nl} And everyone can connect to each other's Mana if they want. {nl} Just like digging a canal.
QUEST_LV_0100_20150312_001228	혹시 곡괭이질 하는 부베들을 보았소?{nl}수정도 아니고, 도대체 무얼 찾는 건지..	Have you ever seen Vubbes using pickaxe? {nl} What are they trying to find...
QUEST_LV_0100_20150312_001229	우릴 구해줘서 정말 고맙소.{nl}	Do really stood us help there. {Nl}
QUEST_LV_0100_20150312_001230	아직도 폐쇄된 구역에 들어갈 거라면 부베들이 가지고 있는 묘한 돌을 모아 보시오.{nl}그걸 수정으로 막힌 벽에 갖다 대니까 스르륵 열리더군.	If you still want to enter the Closed Area, collect the strange stone from the Vubbes. {nl} Stic it to the wall and the crystal wals open.
QUEST_LV_0100_20150312_001231	여기서 뭘 하시는 거지요?{nl}빨리 광산으로 들어가세요.{nl}1층에서 만나기로 하지 않았습니까?	What are you doing here? {nl} Go into the mines quickly. {nl} Weren't we supposed to meet in 1st Gallery?
QUEST_LV_0100_20150312_001232	그 어떤 마족도 여길 넘어갈 수 없을 겁니다.{nl}팔라딘 마스터님을 방해할 수 없도록 제가 목숨을 바쳐서라도 사수할 겁니다.	Would not be able to proceed seems to any Asmodian. {Nl} so that it is not able to interfere with the Paladin master like, I will defend even gave their lives.
QUEST_LV_0100_20150312_001233	확고한 신념은 우리의 방패일세.{nl}우리는 항상 여신의 뜻에 따라 정의와 신념을 위해 싸워 왔네.	Firm belief, 's our shield. {Nl} We always came fighting for the definition and beliefs based on the meaning of the goddess.
QUEST_LV_0100_20150312_001234	장하다.{nl}팔라딘 마스터로써 자네의 업적에 경의를 표하겠네.	Great job. I will honor your performance as {nl} Paladin master.
QUEST_LV_0100_20150312_001235	파수꾼 하메스	Lookout to female
QUEST_LV_0100_20150312_001236	마족에게서 어떻게든 여길 지켜내야해.{nl}여긴 신성한 땅이란 말이다.	Somehow from Asmodian you have must observe here. {Nl} It's here and sacred land.
QUEST_LV_0100_20150312_001237	그 맹약만 아니었어도 벌써 도망갔겠지만.{nl}그래도 난 위대한 파수꾼의 아들이라고.	Its treaty only already away also was not, but wonder. {Nl} still I barrel son and call of a great keeper.
QUEST_LV_0100_20150312_001238	어떻게든 마족들을 막아 내야지요.{nl}성당의 형제들에게 위험을 떠넘길 순 없습니다.	I must nourished the Asmodian somehow. {Nl} does Mase order to press the danger to the Cathedral of brothers.
QUEST_LV_0100_20150312_001239	결계 때문에 들어갈 수가 없구나.{nl}문을 열려면 지하 1층으로 돌아서 들어가야겠어.	I will not be able to enter for the barrier. To open the door of {nl}, I'm going to enter it around on the first floor underground.
QUEST_LV_0100_20150312_001240	자네를 다시 만났을 때는 이 세상에 평화가 찾아와 있을까.. 꼭 그랬으면 좋겠네.	When you have your reunion, visited peace in this world, wonder whether. Come I think To so.
QUEST_LV_0100_20150312_001241	마족이 여기까지 밀고 내려올거라는 건 예상 못했어.{nl}다른 형제들이 잘 버텨주길 바래야지.	Asmodian is I did not can be expected that you will come down to press here. {Nl} other brothers I hope that that will endure well.
QUEST_LV_0100_20150312_001242	지켜야 할 게 많으니까 왠간하면 마족들을 최대한 자극하지 말고 조용히 처리해야해.{nl}계시자인 네가 와 주니 정말 든든하네.	To be what it is not maximally stimulated some U~engan and Asmodian a lot protect, it MUST silently process. {Nl} obviously design I really encouraging you and Juniper Networks.
QUEST_LV_0100_20150312_001243	솔직히 팔라딘들만으론 버텨낼 수 없을 거라 생각했어.{nl}믿음이 부족했군.	And frankly are just Paladin I thought it would not be able sufficiently strong. {Nl} faith has gone missing.
QUEST_LV_0100_20150312_001244	숨는 것보단 당당하게 나와 싸우는 게 더 좋아.{nl}상대가 마족이라면 더 좋고.	than to hide, it seems not fighting it out proudly. {Nl} more often if the other party is Asmodian.
QUEST_LV_0100_20150312_001245	인간이 마왕을 물리칠 수도 있는 거군요.{nl}방금 듣고서도 정말 믿기지가 않네요.	So you can also be human defeat the demon king. It is incredible really even heard only {nl}.
QUEST_LV_0100_20150312_001246	제스티를 죽이지 못한 건 아쉽네만 그래도 참 대단하구나.{nl}이제 막바지야..	And did not kill the stay is regrettable negative, but still I really very. {Nl} but now justified ..
QUEST_LV_0100_20150312_001247	정말 고생이 많았지.{nl}자네의 앞길에 행운이 깃들기를 빌도록 하지.	Really struggling there were many. {Nl} to your prospects are in buildings so that good luck is rice.
QUEST_LV_0100_20150312_001248	이제부턴 여기 계신 분들의 안전에 더욱 신경 써야겠습니다.{nl}요나스님을 모시던 시종은 어딜 간 걸까.	In addition we will to have to use care safely of people who are from now on here. {Nl} Is it Jonas's throughout the worship was where went.
QUEST_LV_0100_20150312_001249	연구에 몰두하다 보면 몬스터가 오는 지도 모를 때가 있어.{nl}그 땐, 정말 아찔했지.	When are devoted to research, there are times when that might monsters come. {Nl} at that time, I was really paid far.
QUEST_LV_0100_20150312_001250	다음부터라도 주위를 잘 살피게. {nl}나까지 휘말릴 뻔 했지 않았는가.	I glanced around well even from the next. {Nl} and had to was Sshi's place to be caught up to me.
QUEST_LV_0100_20150312_001251	왠만하면 다 기억하고 있다고 생각했는데.{nl}치매가 오는건가. 같이 일하던 그 양반 얼굴이 기억이 안나.	Had wanted to remember it's when you woke up. {Nl} or dementia will come to. Does not remember working though face of the both team as.
QUEST_LV_0100_20150312_001252	예전에 같이 일하던 사람이 있었는데.{nl}이상하게 기억이 안 난단 말야.	People who worked in there were before. {Nl} me wonder Remember not Nandan.
QUEST_LV_0100_20150312_001253	이런 곳에서 뭉그적거릴 시간이 없는데..	Even though there is no time to make a Mungujoku in a place like this.
QUEST_LV_0100_20150312_001254	저번에 도와주셨던 건 정말 감사합니다.{nl}지원품이라곤 연구자료 뿐인데 몬스터가 왜 노리는 걸까요.	Was me last help thank you very much. Speaking of {nl} support products, will aim why monsters I just research materials.
QUEST_LV_0100_20150312_001255	닐스에게 참 못할 짓을 했어.{nl}다 기억나 버리니 이거 창피하구먼.	I did something case of true to Nils. Since the {nl}'s memory Ya have become this embarrassing Hagumon.
QUEST_LV_0100_20150312_001256	경비병	Guards
QUEST_LV_0100_20150312_001257	여기서 발굴된 유물은 외부로 반출하실 수 없습니다.{nl}아무리 계시자님이더라도 말입니다.	Relics that have been unearthed here, can not be carried out to the outside. I even {nl} How much revelation bidder.
QUEST_LV_0100_20150312_001258	이곳은 많은 학자들이 연구하는 곳이므로 정숙해 주세요.	Because here is a place that many scholars have studied, please quietness.
QUEST_LV_0100_20150312_001259	물자가 귀한 때일수록 나 같은 상인들의 수완이 빛을 발하는 게 아니겠소? {nl}그게 세상 이치요.	As when material is valuable, Getoso my merchant of skills, such as is not emit light? {Nl} it leaves the world.
QUEST_LV_0100_20150312_001260	이게 뭐라고 몬스터들이 가져간담.{nl}그나마 자료가 이 정도라도 남아있어서 다행이에요.	Chat this what monsters have. {Nl} is data that should not be'm glad remain in this degree.
QUEST_LV_0100_20150312_001261	살면서 이렇게 위험한데까지 나오긴 처음이요.{nl}이렇게 척박한 곳인데 몬스터가 왠말인지.	living in is the first in and out as far as so dangerous, {nl} or this bad place to such monsters is U~enmaru.
QUEST_LV_0100_20150312_001262	고라쓰	Kola writing
QUEST_LV_0100_20150312_001263	실종된 사람들이 한 둘이 아니라던데 이 친구는 또 어딜 간 거지?	The had rather than two that is people who are missing, and No This friend also went where?
QUEST_LV_0100_20150312_001264	바다트	Sea updates
QUEST_LV_0100_20150312_001265	또 연구자료를 잃어버렸어.{nl}이게 도대체 몇 번째야?	Also, I've lost the research materials. {Nl} It's what on earth?
QUEST_LV_0100_20150312_001266	석공 피포티	Mason blood Forty
QUEST_LV_0100_20150312_001267	그런 일은 하지 말았어야 했는데.{nl}다 나 때문이야.	Such a thing can be leveled. It's my fault I {nl}.
QUEST_LV_0100_20150312_001268	사학자들에게 얌전히 조언이나 해 주다가 돌아갈 것을.{nl}다 내 잘못이야.	Quiet advice and is Judaga return it to the historians. My fault it's {nl}.
QUEST_LV_0100_20150312_001269	결정석을 가지고 부러진 기둥 협곡의 구스타스의 제자들을 찾아주세요.{nl}봉인에 대해 가르쳐 드릴 겁니다.	Please find the old Stars disciples of broken pillars canyon with a decision seat. {Nl} is drill tell us about sealed.
QUEST_LV_0100_20150312_001270	케빈	Cabin
QUEST_LV_0100_20150312_001271	여긴 정말 이상한 곳이야.{nl}학자 샌님들도, 검 밖에 모르는 용병들도 모두 여기서 헤어나질 못하고 있잖아?{nl}물론 우리도 마찬가지지만.	Here's the place really strange. {Nl} scholar Sen'nimu also, everyone not a Zu here Heanajiru also mercenaries who do not know only sword? {Nl} of course, but we also the same.
QUEST_LV_0100_20150312_001272	조각가 힐다	Sculptor Hilda
QUEST_LV_0100_20150312_001273	이 기둥들을 보세요.{nl}정말 아름답지 않습니까?	Please look at this pillar. {Nl} Do not really have beauty?
QUEST_LV_0100_20150312_001274	이 기둥들의 아름다움은 몬스터의 무서움도 다 잊게 해주는군요.{nl}정말 대단해요.	The beauty of this pillar, I makes me forget there is also fear of the monster. {Nl} This is really great.
QUEST_LV_0100_20150312_001275	멋진 장식이 있는 기둥들도 좋지만 어떤 기둥들은 읽을 수도 있어요.{nl}가끔 살펴보는 것도 좋겠지요.	Nice pillar of decoration is also like any good but the pillars, you may also be read. {Nl} It would be good to also idea to occasionally seen.
QUEST_LV_0100_20150312_001276	이 황량한 협곡이 아름다운 이유는 어딘가에 비밀을 숨겨두고 있기 때문이지.	The reason this desolate and the valley is beautiful, because somewhere in hiding a secret.
QUEST_LV_0100_20150312_001277	이제 가문의 첫 번째 사명이 이루어졌을 뿐이다.{nl}지금부터 시작이겠지.	I just have been made first mission of home now. It would start from {nl} now.
QUEST_LV_0100_20150312_001278	보급대 대장 비오	Bogupude colon Biot
QUEST_LV_0100_20150312_001279	오늘은 좀 잠잠하군.{nl}몬스터들 말이오.	You're a little quiet today. {Nl} Masu monster words.
QUEST_LV_0100_20150312_001280	우린 베테랑이오.{nl}용병 생활이 몇 년인데 소식이 끊겼다고 해서 당황할 시기는 지났지.	We veteran Io. {Nl} to mercenary life is many years panic just because news has been cut off time has passed.
QUEST_LV_0100_20150312_001281	용병 에타	Mercenary Etta
QUEST_LV_0100_20150312_001282	금방 돌아갈테니까 걱정 말게.{nl}예전 같았으면 이런 것 쯤은..	It is similar to worry because I arrive immediately. If you were {nl} before, about this kind of thing is ..
QUEST_LV_0100_20150312_001283	대장님이 이번엔 무슨 잔소리를 하시려나..	Kana hope what persistent captain in turn.
QUEST_LV_0100_20150312_001284	고고학자 라우디	Archaeologist Raudi
QUEST_LV_0100_20150312_001285	여신과 마족.. 자카리엘 왕릉과 유적의 비밀..	Goddess and Asmodian. Zasharieru King Mausoleum and the ruins of a secret ..
QUEST_LV_0100_20150312_001286	모르쿠스 요나스	I do not know Suyonasu
QUEST_LV_0100_20150312_001287	영감님이 지겹도록 말하던 그 사람은 진짜 오긴 하는 건가..	To say that as an old man is sick, whether that person is really to get.
QUEST_LV_0100_20150312_001288	영감님이 그랬어. {nl}운명을 거스르는 것도 결국은 운명 안에 포함된 거라고.{nl}우리가 이렇게 발버둥치는 것도 전부 예정에 포함된 것이라는 말이겠지?	There was no grandfather. {Nl} be against the fate also, in the end, you would have been included in the fate. {Nl} would do to say that we are also included in all plans that struggle so?
QUEST_LV_0100_20150312_001289	왜 아무도 기억을 못하는 걸까요.{nl}분명히 은발의 남자가.. 흠.	Why can not everyone storage. {Nl} obviously a man of silver-haired is .. hmm.
QUEST_LV_0100_20150312_001290	알 수 없는 누군가가 꾸미고 있는 알 수 없는 일.. {nl}아, 이건 불안을 넘어서서 정말 무섭네요..	that you do not know that the unknown someone is decorated. {Nl} Oh, this is beyond the anxiety, It is really scary.
QUEST_LV_0100_20150312_001291	연구에 매진해야 할 때인데, 전혀 집중이 되질 않아.{nl}게다가 조수는 또 어딜 간 건지.	When it should be striving to research, absolutely there is no Do~u~ejiru concentration. {Nl} In addition, assistant also, where they have carried out.
QUEST_LV_0100_20150312_001292	아이리네가 없었으면 정말로 죽었을 거요.{nl}아, 물론 당신도 고맙소.	Do you really dead if you do not have children Rine. {Nl} Oh, of course, whether you even there.
QUEST_LV_0100_20150312_001293	아이리네는 내 생명의 은인이요.{nl}당신도 물론이고.	Children Rine is a benefactor of my life, {nl} you also leave.
QUEST_LV_0100_20150312_001294	이야기는 들었지만 사실 잘 믿겨지진 않습니다.{nl}부베 투사를 해치웠다니요.	I heard the story but I can't really believe it. {nl} Getting rid of the Vubbe Fighter. 
QUEST_LV_0100_20150312_001295	선생님은 어디 계신 걸까요. 정말 걱정이 돼서 미칠 것만 같아요.	Where is the teacher folded'll we do? I think it 's just give it really worried.
QUEST_LV_0100_20150312_001296	데지크 선생님이 없었으면 전 정말 몬스터들 사이에서 미쳐버렸을 거예요.{nl}아, 물론 당신이 구해주신 것도 감사하죠.	I I've actually crazy between monsters Once was not for Zeke teacher. {Nl} Oh, of course, and I thank you that you gave us old.
QUEST_LV_0100_20150312_001297	여긴 곧 철수할 예정입니다만, 어쩐 일이십니까?{nl}상부에서 신규 인력을 보내 준다는 말은 없었는데..	This is scheduled to immediately withdraw, or What's happening? {Nl} but it was not give me send a new human resources from the top.
QUEST_LV_0100_20150312_001298	빨리 철수해야죠.{nl}어떤 돌이 어떤 몬스터를 불러올지 아무도 모르니까요.{nl}대체 이게 뭔 난리람..	And immediately withdrew. {Nl} What stone or call any monster, I because I do not know anyone. {Nl} exactly this what fuss people.
QUEST_LV_0100_20150312_001299	고고학적 가치가 떨어져서 철수해야 한다는 게 말이 된다고 생각하시나요?{nl}밟는 땅마다 유물 천지인데!!	Do you think makes sense is that archaeological value must withdraw fallen? It's relic heaven and earth in every land that tread {nl}!
QUEST_LV_0100_20150312_001300	내 느낌이 틀리지 않을 거예요. 절대로 무슨 일인가가 일어나고 있어요. {nl}이대로 포기할 수 없어.	You will not mistake my feelings. What happened is I am going to absolutely. {Nl} You can not give up this leave.
QUEST_LV_0100_20150312_001301	내가 원하는 게 분명히 있을텐데 이거 도저히 방법이 없단 말야.{nl}흠. 이를 어쩐다.	Is clearly that I want to Itourutende to me say this possibly way that there is no. {Nl} Hmm. This Ochonda.
QUEST_LV_0100_20150312_001302	이 멋진 곳에서 철수해야 한다니 마음이 참 아프구먼.{nl}하지만 할 수 없지.	I No really hurts my heart to Nante must withdraw from this lovely place. You can not {nl}.
QUEST_LV_0100_20150312_001303	미쳤다고 여기 더 있고 싶겠어?{nl}나는 최대한 빠르게 여길 뜰거야. 나중에 또 보자고!	Do I want more here crazy? {Nl} I'm quickly out of place garden as much as possible. Let's also later!
QUEST_LV_0100_20150312_001304	사학자 시레니아 오델	Lenny in historian Oh Oder
QUEST_LV_0100_20150312_001305	이 느낌은.. {nl}사학자로서의 느낌일까요, 아니면 인간의 본성에서 나오는 공포일까요..	This feeling, what I feel as a historian of ... {nl}, Or Will fear to come out of the human nature.
QUEST_LV_0100_20150312_001306	탐험가 바키스	Explorer Bakisu
QUEST_LV_0100_20150312_001307	탐험가? 물론 위험하지.{nl}하지만 뭔가를 발견했을 때의 그 짜릿함이 날 계속 이끌어.	Explorer? Of course it is not dangerous. {Nl} However, Guchi~ari~tsu when you discover something is guided in a row this day.
QUEST_LV_0100_20150312_001308	사학자 렉시퍼	Historian Rexipher
QUEST_LV_0100_20150312_001309	옛말에 이런 말이 있습니다.{nl}괴물과 싸우는 사람은 스스로 괴물이 되지 않도록 조심해야 한다.{nl}그대가 오랫동안 심연을 들여다보면, 심연 역시 그대를 들여다본다..{nl}	There is an old saying. Who fight {nl} monster, care must be taken to avoid their own monsters. {Nl} and Mr. peek long abyss, the abyss also look through you. {Nl}
QUEST_LV_0100_20150312_001310	왠지 당신과는 곧 다시 만날 날이 올 것 같군요.{nl}그럼 그때까지 안녕히..	You and why, sounds like soon we meet again the day will come. In {nl}, goodbye to it.
QUEST_LV_0100_20150312_001311	사학자들이 초대해서 여기까지 왔어.{nl}석공으로써 조언이 듣고싶다나.	Historians who came up here to invite. {Nl} Do you want to think to hear advice as gypsum.
QUEST_LV_0100_20150312_001312	사학자들에게 얌전히 조언이나 해 주다가 돌아갈 것을.{nl}다 내 잘못이겠지.	Quiet advice and is Judaga return it to the historians. I {nl} would do such my fault.
QUEST_LV_0100_20150312_001313	연락관 베일	Liaison veil
QUEST_LV_0100_20150312_001314	등록되어있지 않은 분의 안전까지 저희가 책임져 드릴 수 없습니다.{nl}웬만하면 안전한 곳으로 돌아가십시오.	We will not be able to drill a responsibility to safer of which has not been registered. If you can {nl}, to return to a safe place.
QUEST_LV_0100_20150312_001315	도움이 되지 못해 죄송합니다만, 저희 명단엔 없군요.	Help it Sorry can not be, but you do not in our list.
QUEST_LV_0100_20150312_001316	사학자 콜린	Historian Colin
QUEST_LV_0100_20150312_001317	글쎄요, 아무리 생각해도 전 아는 바가 없군요.{nl}음.. 전혀요. 	Well, I is there no place where you know before even thinking much. {Nl} Hmm .. at all.
QUEST_LV_0100_20150312_001318	어휴, 이 많은 자료를 언제 다 정리한담?	Huh, when the multi-together chat this much data?
QUEST_LV_0100_20150312_001319	마족의 이름을 사칭하는 사람도 있다니, 확실히 제정신은 아닌 것 같네요.	Nante Some people to spoof the name of the Asmodian, certainly I does not seem to be insane.
QUEST_LV_0100_20150312_001320	부상당한 사학자 라우라스	The injured historian Raurasu
QUEST_LV_0100_20150312_001321	발굴지를 휘젓고 다니는 남자가 있어.{nl}제정신이 아니야. 어떻게 몬스터를 부리는 거지?	Baruguruji have some people to attend stir the. {Nl} not insane. How do you put a monster?
QUEST_LV_0100_20150312_001322	빨리요! 어떻게든 렉시퍼를 방해해야 해요.{nl}여신의 의지가 뭐든지 간에 그의 손에 들어가 봤자 좋을 일이 없을 테니까요.	Paruriyo! Somehow it must interfere with the Rexipher. {Nl} Whatever the will of the goddess, because it should not be good to try into his hands.
QUEST_LV_0100_20150312_001323	루클리스 추모비 탁본	Ruklys memorial rubbings
QUEST_LV_0100_20150312_001324	누가 루클리스의 목을 베었는가.{nl}누가 루클리스를 반역자라 하는가.{nl}	Who solid neck Ruklys. {Nl} I grew up treason who Ruklys. {Nl}
QUEST_LV_0100_20150312_001325	그의 영혼이 사그라들자 국왕의 폭정은 날뛰었고 백성의 삶은 피폐해졌다.{nl}그와 함께 죽지 못한 이 죄인의 몸, 그의 정신을 이 추모비에 남기려 한다.{nl}	While his soul, tyranny of King life I ran people became exhausted. {Nl} but did not die with him, you are trying to leave sinners of the body, his spirit to this memorial. {Nl}
QUEST_LV_0100_20150312_001326	그대가 검사가 아니어도 좋다.{nl}그대가 선택받은 자가 아니어도 좋다.{nl}	You may not be inspected. {Nl} may not be who Mr. chosen. {Nl}
QUEST_LV_0100_20150312_001327	허나 루클리스가 그대에게 남겨줄 빛은 혼란한 세상을 위해 사용되어야 한다.{nl}만일 그대가 경솔하여 살생에만 몰두한다면 양날의 검이 되어 그대의 목을 겨누리라.{nl}	But Namugyojuru light Rurisu kun, should be used for the confused world. {Nl} if you have is frivolous, please taste the neck of your ng Become a double-edged sword if immersed in the killing. {Nl}
QUEST_LV_0100_20150312_001328	제 연구를 도와 줄 분을 찾고 있습니다.{nl}반역자 루클리스를 연구한다는 이유로 지원이 끊겨버렸거든요.{nl}{nl}	I'm looking for a person who help with my research. {Nl} and I support on the grounds that to study the rebels Ruklys has had expired. {Nl} {nl}
QUEST_LV_0100_20150312_001329	모든 게 제 불찰입니다.{nl}스미드가 죽어버리다니.. 제가 혼자 남아 무얼 하겠습니까.	Everything is my blunder. {Nl} · Smith will die Nante, and what are you going to do me left alone.
QUEST_LV_0100_20150312_001330	어디 뭐 값나가는 거 없을까?{nl}일단 레이몬드에게 고용된 몸이긴 하다만.	Where Well wonder expensive huge crying? {Nl} but once there is a body was hired to Raymond.
QUEST_LV_0100_20150312_001331	무명비	Anonymous non
QUEST_LV_0100_20150312_001332	지금은 읽을 수 없다.	Can not be read now.
QUEST_LV_0100_20150312_001333	여긴 말도 못하게 위험한 곳이죠.{nl}스승님은 위험하다면서 곁에 붙어 가만있으라고 하셨지만.. {nl}루클리스의 비밀을 밝힐 기회 앞에서 가만 있을 수가 있어야 말이죠. 	Here Tondemonaku is a dangerous place. The {nl} master, is called to be a danger, I am required to sit still in front of the opportunity to clarify the Iro and better was but .. {nl} Ruklys of secret silently for buckwheat.
QUEST_LV_0100_20150312_001334	그래서 이렇게.. 조금 멀리 나와 있습니다.	So yes .. I am a little away.
QUEST_LV_0100_20150312_001335	이건 정말 대단합니다! 학자로서 정말 더 탐구하고 싶어지는걸요! {nl}하지만 이렇게 나와 있는 것이 괜찮은 일인지는..	This is really amazing! I do want to really many exploration as a scholar! {Nl} However, if it is that decent it is this description.
QUEST_LV_0100_20150312_001336	물질의 제련을 통하여 자신의 영혼을 더 높은 곳으로 이끄는 것.{nl}그게 우리 알케미스트들의 궁극적인 목표입니다.	Can lead to his own soul to a higher place through the smelting of substance. {Nl} it is the ultimate goal of our Alchemist.
QUEST_LV_0100_20150312_001337	네더보바인이 또 난동인가?{nl}어떤 몬스터든 우리 로델레로가 버티고 있는 한 페디미안으로 한 발자국도 들어올 수 없지.{nl}	Or NetherBovine is also a riot? {Nl} any monsters also we have to answer is Rodelero to it was not able to even enter one step and there is Fedimian. {Nl}
QUEST_LV_0100_20150312_001338	네더보바인을 퇴치하러 가신다고요. {nl}훌륭합니다. 응원하겠습니다.	And I are squid to exterminate the NetherBovine. {Nl} is great. I support you.
QUEST_LV_0100_20150312_001339	시간을 다루는 마법이야말로 모든 마법의 정수라고 할 수 있지요.{nl}아가일라 플러리님께서 하신 말씀이에요.	It 's magic what can be an integer of all the magic dealing with time. {Nl} Agailla Flurry's is the word that was said.
QUEST_LV_0100_20150312_001340	원래 난 숲에서 살았지만 뜻이 있어서 페디미안으로 왔어.{nl}페디미안의 반 이상이 날아갔는데 나라도 도움이 된다면 도와야지.	Original I lived in the forest, but've been Fedimian if there is a meaning. {Nl} to help if also help to countries that flew more than half of Fedimian.
QUEST_LV_0100_20150312_001341	페디미안 밖에서 네더보바인이 난동 중이라는 이야기는 들었습니다.{nl}수행 중인 몸으로써 적극적으로 나서지 못한다는 게 부끄럽군요.	Outside NetherBovine Fedimian is I heard the story that are riots. It is ashamed that nothing out aggressively as {nl} body running.
QUEST_LV_0100_20150312_001342	독이 불공평하다는건 정말 모르고 하는 소리야.{nl}이겨야 살아남지. 정정당당하기만 해서는 이 험난한 세상을 살아갈 수 없어.	I really do not know the sound of that poison unfair. {Nl} to survive if if not win. Just to sporting, it is impossible to survive the wilderness.
QUEST_LV_0100_20150312_001343	페디미안 밖에서 난동 중인 네더보바인을 처치하러 간다며?{nl}네가 아니었으면 내가 나섰을 텐데.{nl}아깝네. 그럼 수고해줘.	When come going to defeat the NetherBovine in outside of riots Fedimian? and {nl} you do not'm you, but it should I came out. {Nl} Akapune. Then, the time me.
QUEST_LV_0100_20150312_001344	아름다웠던 이 도시가 이렇게 파괴되고도 아직도 위협이 되는 것들이 많지.{nl}내가 나서는 것도 좋겠다만.. 관두지. {nl}공짜로 봉사해 줄 녀석들은 널렸으니까.{nl}	Beautiful even if this town is destroyed so, there are a lot of things that still a threat. {Nl} may be from me, but .. you tube stimulus. {Nl} is someone to serve for free from Noruryoto. {Nl}
QUEST_LV_0100_20150312_001345	네더보바인이라니.. 그래도 처치하겠다고 나서주신 분이 계셔서 다행입니다.	What NetherBovine .. still I'd appreciate it if is folded towards who have announced the treatment.
QUEST_LV_0100_20150312_001346	할 수만 있다면 예전으로 되돌아가고 싶어요.{nl}지금의 저라면, 제 마법으로 페디미안을 구하고도 남았을 거예요.	If it is possible to be, I want to return to the previous. And if {nl} now I, I do not have Pedy sorry in the first magic remained to be determined.
QUEST_LV_0100_20150312_001347	범상치 않은 분이라고 생각했어요.{nl}나서 주신 것만으로 감사한 일입니다.	I think if you are not a mediocre. Just received from {nl} I am grateful in.
